	 	 	START	 	 	COMMA	 	 	PERIO	 	 	QUEST	 	 	EXCLA	 	 	COLON	 	 	SPACE	 	 	STOP	 	 	
CC	 		 	 0		 	 204		 	 0		 	 0		 	 0		 	 0		 	 14492		 	 0	
CD	 		 	 0		 	 64		 	 0		 	 0		 	 0		 	 2		 	 1573		 	 0	
DT	 		 	 0		 	 400		 	 2		 	 0		 	 0		 	 12		 	 51390		 	 0	
EX	 		 	 0		 	 20		 	 0		 	 0		 	 0		 	 0		 	 715		 	 0	
FW	 		 	 0		 	 26		 	 2		 	 0		 	 0		 	 5		 	 275		 	 0	
IN	 		 	 0		 	 541		 	 1		 	 0		 	 0		 	 18		 	 65226		 	 0	
JJ	 		 	 0		 	 1628		 	 33		 	 0		 	 0		 	 12		 	 25306		 	 0	
JJR	 		 	 0		 	 49		 	 0		 	 0		 	 0		 	 0		 	 1040		 	 0	
JJS	 		 	 0		 	 23		 	 0		 	 0		 	 0		 	 0		 	 798		 	 0	
LS	 		 	 0		 	 0		 	 0		 	 0		 	 0		 	 0		 	 1		 	 0	
MD	 		 	 0		 	 62		 	 0		 	 0		 	 0		 	 0		 	 19840		 	 0	
NN	 		 	 0		 	 7318		 	 32		 	 0		 	 0		 	 130		 	 49461		 	 0	
NNP	 		 	 0		 	 6013		 	 495		 	 0		 	 0		 	 594		 	 25519		 	 0	
NNPS	 		 	 0		 	 62		 	 1		 	 0		 	 0		 	 4		 	 237		 	 0	
NNS	 		 	 0		 	 2447		 	 3		 	 0		 	 0		 	 83		 	 14497		 	 0	
PDT	 		 	 0		 	 2		 	 0		 	 0		 	 0		 	 0		 	 338		 	 0	
POS	 		 	 0		 	 0		 	 0		 	 0		 	 0		 	 0		 	 2		 	 0	
PRP	 		 	 0		 	 1300		 	 1		 	 0		 	 0		 	 7		 	 85081		 	 0	
PRP$	 		 	 0		 	 11		 	 0		 	 0		 	 0		 	 0		 	 17801		 	 0	
RB	 		 	 0		 	 4952		 	 12		 	 0		 	 0		 	 8		 	 26849		 	 0	
RBR	 		 	 0		 	 43		 	 0		 	 0		 	 0		 	 1		 	 516		 	 0	
RBS	 		 	 0		 	 1		 	 0		 	 0		 	 0		 	 0		 	 126		 	 0	
RP	 		 	 0		 	 132		 	 0		 	 0		 	 0		 	 1		 	 2785		 	 0	
SYM	 		 	 0		 	 2		 	 0		 	 0		 	 0		 	 0		 	 169		 	 0	
TO	 		 	 0		 	 31		 	 0		 	 0		 	 0		 	 1		 	 23411		 	 0	
UH	 		 	 0		 	 97		 	 0		 	 0		 	 0		 	 6		 	 119		 	 0	
VB	 		 	 0		 	 1160		 	 3		 	 0		 	 0		 	 52		 	 54802		 	 0	
VBD	 		 	 0		 	 334		 	 9		 	 0		 	 0		 	 17		 	 16550		 	 0	
VBG	 		 	 0		 	 189		 	 0		 	 0		 	 0		 	 11		 	 11638		 	 0	
VBN	 		 	 0		 	 441		 	 1		 	 0		 	 0		 	 2		 	 8615		 	 0	
VBP	 		 	 0		 	 670		 	 7		 	 0		 	 0		 	 24		 	 38101		 	 0	
VBZ	 		 	 0		 	 276		 	 14		 	 0		 	 0		 	 17		 	 13204		 	 0	
WDT	 		 	 0		 	 8		 	 0		 	 0		 	 0		 	 0		 	 1215		 	 0	
WP	 		 	 0		 	 19		 	 0		 	 0		 	 0		 	 1		 	 3409		 	 0	
WP$	 		 	 0		 	 0		 	 0		 	 0		 	 0		 	 0		 	 8		 	 0	
WRB	 		 	 0		 	 24		 	 0		 	 0		 	 0		 	 1		 	 4117		 	 0	
